timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-03-04,22354.34000000,22410.00000000,22157.08000000,22346.57000000,121257.38132000,1677974399999,2706422995.68025610,4169260,60043.33153000,1340204531.15407010,0
2023-03-05,22346.57000000,22662.09000000,22189.22000000,22430.24000000,154841.75786000,1678060799999,3473011455.18795160,4835978,77394.35765000,1735989090.89956100,0
2023-03-06,22430.24000000,22602.19000000,22258.00000000,22410.00000000,203751.82957000,1678147199999,4569102169.18569090,6471278,102110.26304000,2289889200.16671640,0
2023-03-07,22409.41000000,22557.91000000,21927.00000000,22197.96000000,292519.80912000,1678233599999,6517594938.24605280,7813394,145498.64219000,3242136502.65467320,0
2023-03-08,22198.56000000,22287.00000000,21580.00000000,21705.44000000,301460.57272000,1678319999999,6641171704.24242130,8018963,150008.02488000,3304860256.10499370,0
2023-03-09,21704.37000000,21834.99000000,20042.72000000,20362.22000000,443658.28584000,1678406399999,9403028764.70777380,10076702,217900.59621000,4619803522.04323720,0
2023-03-10,20362.21000000,20367.78000000,19549.09000000,20150.69000000,618456.46710000,1678492799999,12344992788.91249570,12106261,308155.80993000,6151475123.53551420,0
2023-03-11,20150.69000000,20686.51000000,19765.03000000,20455.73000000,427831.82133000,1678579199999,8651590672.46852580,10412300,213151.47855000,4310534195.90929190,0
2023-03-12,20455.73000000,22150.00000000,20270.60000000,21997.11000000,430944.94288000,1678665599999,8982418413.80113910,9721933,218639.06880000,4558127964.92580440,0
2023-03-13,21998.05000000,24500.00000000,21813.88000000,24113.48000000,687889.31259000,1678751999999,15824996078.60563840,14820760,346688.17025000,7976620081.70609870,0
2023-03-14,24112.27000000,26386.87000000,23976.42000000,24670.41000000,699360.93423000,1678838399999,17465307097.88407330,15223589,351739.11994000,8783916247.67613780,0
2023-03-15,24670.41000000,25196.97000000,23896.95000000,24285.66000000,581450.72984000,1678924799999,14291005743.89785140,12613034,291192.86696000,7157472156.96233370,0
2023-03-16,24285.66000000,25167.40000000,24123.00000000,24998.78000000,439421.32998000,1679011199999,10847330151.94100580,10418081,220403.30289000,5441432259.26084610,0
2023-03-17,24998.78000000,27756.84000000,24890.00000000,27395.13000000,624460.68091000,1679097599999,16476681071.24337980,13113359,318022.61356000,8392477832.00232200,0
2023-03-18,27395.13000000,27724.85000000,26578.00000000,26907.49000000,371238.97174000,1679183999999,10135945069.64262880,9948603,185687.70768000,5070480124.59387840,0
2023-03-19,26907.49000000,28390.10000000,26827.22000000,27972.87000000,372066.99054000,1679270399999,10264707987.59416350,9578297,188150.56147000,5191102286.40091840,0
2023-03-20,27972.87000000,28472.00000000,27124.47000000,27717.01000000,477378.23373000,1679356799999,13300424536.51492210,11775950,239765.29148000,6680704887.53214600,0
2023-03-21,27717.01000000,28438.55000000,27303.10000000,28105.47000000,420929.74220000,1679443199999,11760492716.33759010,11530870,210472.34027000,5880942507.63001030,0
2023-03-22,28107.81000000,28868.05000000,26601.80000000,27250.97000000,224113.41296000,1679529599999,6272099822.44962380,3589327,110355.97386000,3089585214.11506410,0
2023-03-23,27250.97000000,28750.00000000,27105.00000000,28295.41000000,128649.60818000,1679615999999,3591123573.11495830,2159091,65172.02479000,1819323637.29034450,0
2023-03-24,28295.42000000,28374.30000000,27000.00000000,27454.47000000,86242.06544000,1679702399999,2403443392.02730140,1511137,41449.56122000,1155147465.73899320,0
2023-03-25,27454.46000000,27787.33000000,27156.09000000,27462.95000000,50844.08102000,1679788799999,1397227639.21413780,1088721,25326.94876000,696042529.08396240,0
2023-03-26,27462.96000000,28194.40000000,27417.76000000,27968.05000000,49671.70353000,1679875199999,1380973402.99612050,1068196,25248.15818000,702028235.05732650,0
2023-03-27,27968.05000000,28023.86000000,26508.14000000,27124.91000000,88039.46898000,1679961599999,2407130888.03460520,1575264,43151.91539000,1179905180.61352780,0
2023-03-28,27124.90000000,27520.00000000,26631.78000000,27261.07000000,78602.44341000,1680047999999,2124533606.76555600,1521981,38972.61486000,1053473599.25876880,0
2023-03-29,27261.06000000,28650.00000000,27240.10000000,28348.60000000,89486.16008000,1680134399999,2519887866.21115870,1704217,45742.08025000,1288220696.49267820,0
2023-03-30,28348.60000000,29184.68000000,27686.00000000,28028.53000000,98865.43256000,1680220799999,2808471938.64244290,1843652,49100.20979000,1394972886.70623690,0
2023-03-31,28028.53000000,28656.69000000,27511.71000000,28465.36000000,78198.12139000,1680307199999,2203253311.77735070,1537349,39636.47111000,1117184234.18685750,0
2023-04-01,28465.36000000,28819.71000000,28220.27000000,28452.73000000,30238.44753000,1680393599999,860804237.45226890,822781,15171.37738000,431931567.48274810,0
2023-04-02,28452.74000000,28530.00000000,27856.43000000,28171.87000000,37365.65692000,1680479999999,1053600933.06768050,938464,17897.01839000,504647268.08636430,0
2023-04-03,28171.87000000,28500.99000000,27200.24000000,27800.00000000,79180.01405000,1680566399999,2214361048.78236680,1651062,40534.82008000,1133865764.09162880,0
2023-04-04,27800.00000000,28444.44000000,27662.79000000,28165.47000000,49722.55691000,1680652799999,1397141464.87503610,1102007,25083.95234000,704845402.41914090,0
2023-04-05,28165.47000000,28775.00000000,27805.10000000,28170.01000000,60737.64732000,1680739199999,1721098539.06605670,1262730,30556.88672000,865971090.17046820,0
2023-04-06,28170.01000000,28182.05000000,27711.00000000,28033.82000000,40118.94963000,1680825599999,1122713087.55618260,934548,19308.64369000,540384260.85680000,0
2023-04-07,28033.83000000,28100.00000000,27766.94000000,27906.33000000,24762.09387000,1680911999999,691323748.92864130,655634,11983.13367000,334559478.47028190,0
2023-04-08,27906.34000000,28154.99000000,27859.02000000,27938.38000000,19479.96735000,1680998399999,545324518.68607540,624159,9729.24214000,272366679.34403870,0
2023-04-09,27938.38000000,28530.00000000,27800.00000000,28323.76000000,32531.16101000,1681084799999,913915923.69519570,777589,16885.70757000,474454325.35692960,0
2023-04-10,28323.76000000,29770.00000000,28170.00000000,29637.34000000,67754.06220000,1681171199999,1955300943.17083050,1285695,36147.62326000,1043138687.59161250,0
2023-04-11,29637.35000000,30550.00000000,29590.00000000,30200.42000000,67990.07621000,1681257599999,2046078278.08211760,1340458,34766.92718000,1046250622.29345680,0
2023-04-12,30200.43000000,30486.00000000,29637.40000000,29888.07000000,62049.48451000,1681343999999,1863497606.14153030,1246556,31136.38576000,935223730.57256700,0
2023-04-13,29888.07000000,30595.00000000,29854.59000000,30373.84000000,51934.11731000,1681430399999,1571091101.12996720,1054144,26767.65298000,809748635.00258690,0
2023-04-14,30373.84000000,31000.00000000,29966.00000000,30466.93000000,75984.19452000,1681516799999,2323267494.38023010,1504180,38406.59006000,1174371283.56516650,0
2023-04-15,30466.93000000,30595.60000000,30202.00000000,30295.09000000,25429.81247000,1681603199999,772211097.61401600,732418,12424.34509000,377293528.31290670,0
