SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
KMAZ,TQBR,КАМАЗ,141.3,10,50.0,A,Т+: Акции и ДР - безадрес.,1,КАМАЗ ПАО,,FNDT,EQIN,,0.1,139.8,SUR,2024-07-12,707229559,RU0008959580,KAMAZ,1-08-55010-D,139.6,SUR,1,2,2024-07-16
KMEZ,TQBR,КМЗ,1380.0,1,250.0,A,Т+: Акции и ДР - безадрес.,0,Ковровский механический завод,,FNDT,EQIN,,2.0,1400.0,SUR,2024-07-12,3764600,RU0006753613,Kovrov Mech. Zavod,1-02-05376-A,1380.0,SUR,1,3,2024-07-16
KOGK,TQBR,КоршГОК ао,42600.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Коршуновский ГОК ПАО ао,,FNDT,EQIN,,200.0,44200.0,SUR,2024-07-12,250126,RU0002155359,Korshunovskii GOK,1-01-20992-F,43000.0,SUR,1,3,2024-07-16
KRKN,TQBR,СаратНПЗ,10450.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Саратовский НПЗ ПАО ао,,FNDT,EQIN,,50.0,10500.0,SUR,2024-07-12,748012,RU0009100408,Saratovskiy NPZ ao,1-01-00248-A,10450.0,SUR,1,3,2024-07-16
KRKNP,TQBR,СаратНПЗ-п,9460.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Саратовский НПЗ ПАО ап,,FNDT,EQIN,,20.0,9480.0,SUR,2024-07-12,249337,RU0009100416,Saratovskiy NPZ ap,2-01-00248-A,9460.0,SUR,2,3,2024-07-16
KRKOP,TQBR,ТКЗКК ап,13.26,100,1.0,A,Т+: Акции и ДР - безадрес.,2,ТКЗ Красный котельщик ПАО ап,,FNDT,EQIN,,0.02,13.22,SUR,2024-07-12,71086000,RU0009098131,TKZ Krasny Kotelshchik ap,2-01-30301-E,13.26,SUR,2,3,2024-07-16
KROT,TQBR,КрасОкт-ао,2082.0,10,1.0,A,Т+: Акции и ДР - безадрес.,0,"""КрасныйОктябрь"" ПАО - ао",,FNDT,EQIN,,1.0,2093.0,SUR,2024-07-12,9217583,RU0008913850,KrasnyiOctyabr,1-02-00060-A,2082.0,SUR,1,3,2024-07-16
KROTP,TQBR,КрасОкт-1п,704.0,10,1.0,A,Т+: Акции и ДР - безадрес.,0,КрасныйОктябрь-1п,,FNDT,EQIN,,1.0,714.0,SUR,2024-07-12,1474549,RU0008913868,KrasnyiOctabr-1(pr),2-01-00060-A,704.0,SUR,2,3,2024-07-16
KRSB,TQBR,Красэсб ао,15.28,100,0.02,A,Т+: Акции и ДР - безадрес.,2,Красноярскэнергосбыт ао,,FNDT,EQIN,,0.02,15.46,SUR,2024-07-12,596039612,RU000A0HMLY1,Krashojarskenergosbyt,1-01-55147-E,15.28,SUR,1,3,2024-07-16
KRSBP,TQBR,Красэсб ап,15.3,100,0.02,A,Т+: Акции и ДР - безадрес.,2,Красноярскэнергосбыт ап,,FNDT,EQIN,,0.02,15.56,SUR,2024-07-12,168993328,RU000A0HMLZ8,Krashojarskenergosbyt pref.,2-01-55147-E,15.32,SUR,2,3,2024-07-16
KUBE,TQBR,РСетКубань,282.0,10,100.0,A,Т+: Акции и ДР - безадрес.,1,"""Россети Кубань"" ПАО",,FNDT,EQIN,,0.2,281.4,SUR,2024-07-12,334657837,RU0009046767,Rosseti Kuban,1-02-00063-A,282.0,SUR,1,3,2024-07-16
KUZB,TQBR,КузнецкийБ,0.04395,10000,0.01,A,Т+: Акции и ДР - безадрес.,5,"Банк ""Кузнецкий"" ПАО ао",,FNDT,EQIN,,5e-05,0.04375,SUR,2024-07-12,22503490875,RU000A0JSQ66,"Bank ""Kuzneckiy""",10100609B,0.0438,SUR,1,3,2024-07-16
KZOS,TQBR,ОргСинт ао,96.2,10,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Органический синтез"" ао",,FNDT,EQIN,,0.1,96.4,SUR,2024-07-12,1785114000,RU0009089825,PAO Organicheskiy Sintez ao,1-02-55245-D,96.2,SUR,1,3,2024-07-16
KZOSP,TQBR,ОргСинт ап,22.62,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Органический синтез"" ап",,FNDT,EQIN,,0.01,22.87,SUR,2024-07-12,119596000,RU0006753456,PAO Organicheskiy Sintez ap,2-02-55245-D,22.62,SUR,2,3,2024-07-16
LEAS,TQBR,Европлан,883.2,1,1.0,A,Т+: Акции и ДР - безадрес.,1,ПАО «ЛК «Европлан»,,FNDT,EQIN,,0.1,878.7,SUR,2024-07-12,120000000,RU000A0ZZFS9,Europlan,1-01-16419-A,878.2,SUR,1,1,2024-07-16
LENT,TQBR,Лента ао,1041.5,1,0.0912632,A,Т+: Акции и ДР - безадрес.,1,Лента МКПАО ао,,FNDT,EQIN,,0.5,1062.5,SUR,2024-07-12,115985197,RU000A102S15,Lenta IPJSC ORD SHS,1-01-16686-A,1041.5,SUR,1,1,2024-07-16
LKOH,TQBR,ЛУКОЙЛ,6908.0,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,6900.0,SUR,2024-07-12,692865762,RU0009024277,LUKOIL,1-01-00077-A,6867.0,SUR,1,1,2024-07-16
LNZL,TQBR,Лензолото,13460.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""Лензолото"" ПАО ао",,FNDT,EQIN,,10.0,13540.0,SUR,2024-07-12,1140300,RU000A0JP1N2,Lenzoloto,1-02-40433-N,13470.0,SUR,1,3,2024-07-16
LNZLP,TQBR,Лензол. ап,2145.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""Лензолото"" ПАО ап",,FNDT,EQIN,,5.0,2170.0,SUR,2024-07-12,347700,RU000A0JP1P7,Lenzoloto pref.,2-02-40433-N,2145.0,SUR,2,3,2024-07-16
LSNG,TQBR,РСетиЛЭ,15.94,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Ленэнерго ПАО-ао,,FNDT,EQIN,,0.01,16.08,SUR,2024-07-12,8523785320,RU0009034490,Rosseti LenEnrg,1-01-00073-A,15.94,SUR,1,3,2024-07-16
LSNGP,TQBR,РСетиЛЭ-п,208.65,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Ленэнерго ПАО-ап,,FNDT,EQIN,,0.05,207.0,SUR,2024-07-12,93264311,RU0009092134,Rosseti LenEnrg (pref),2-01-00073-A,208.65,SUR,2,3,2024-07-16
LSRG,TQBR,ЛСР ао,716.2,1,0.25,A,Т+: Акции и ДР - безадрес.,1,Группа ЛСР ПАО ао,,FNDT,EQIN,,0.2,715.4,SUR,2024-07-12,103030215,RU000A0JPFP0,LSR,1-01-55234-E,716.2,SUR,1,1,2024-07-16
LVHK,TQBR,Левенгук,40.0,100,10.0,A,Т+: Акции и ДР - безадрес.,2,Левенгук ПАО ао,,FNDT,EQIN,,0.05,40.0,SUR,2024-07-12,52940000,RU000A0JT7Y2,Levenguk ao,1-01-04329-D,40.0,SUR,1,3,2024-07-16
MAGE,TQBR,МагадЭн ао,4.3,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Магаданэнерго"" ПАО ао",,FNDT,EQIN,,0.01,4.46,SUR,2024-07-12,463838268,RU0006758919,Magadanenergo ao,1-01-00254-A,4.3,SUR,1,3,2024-07-16
MAGEP,TQBR,МагадЭн ап,3.02,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Магаданэнерго"" ПАО ап",,FNDT,EQIN,,0.01,3.12,SUR,2024-07-12,145673254,RU0006758893,Magadanenergo ap,2-01-00254-A,3.03,SUR,2,3,2024-07-16
MAGN,TQBR,ММК,52.26,10,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Магнитогорск.мет.комб"" ПАО ао",,FNDT,EQIN,,0.005,51.83,SUR,2024-07-12,11174330000,RU0009084396,MMK,1-03-00078-A,51.95,SUR,1,1,2024-07-16
MBNK,TQBR,МТС Банк,1862.0,1,500.0,A,Т+: Акции и ДР - безадрес.,1,МТС-Банк ао,,FNDT,EQIN,,0.5,1837.0,SUR,2024-07-12,34629063,RU000A0JRH43,MTS Bank,10102268B,1862.0,SUR,1,1,2024-07-16
MDMG,TQBR,MDMG-ао,827.6,1,7.16872,A,Т+: Акции и ДР - безадрес.,1,МКПАО «МД Медикал Груп»,,FNDT,EQIN,,0.1,824.5,SUR,2024-07-12,75125010,RU000A108KL3,MD Medical Group IPJSC,1-01-16802-A,827.6,SUR,1,1,2024-07-16
MFGS,TQBR,Мегион-ао,391.0,10,25.0,A,Т+: Акции и ДР - безадрес.,1,"ао ""Славнефть-Мегионнефтегаз""",,FNDT,EQIN,,0.5,395.5,SUR,2024-07-12,99474705,RU0009011126,Megion,1-03-00149-A,391.0,SUR,1,3,2024-07-16
MFGSP,TQBR,Мегион-ап,258.0,10,25.0,A,Т+: Акции и ДР - безадрес.,1,ап Мегионнефтегаз,,FNDT,EQIN,,0.5,254.0,SUR,2024-07-12,33056875,RU0009011134,Megion (pref),2-03-00149-A,258.5,SUR,2,3,2024-07-16
MGKL,TQBR,МГКЛ,2.3315,100,0.01,A,Т+: Акции и ДР - безадрес.,4,МГКЛ ао,,FNDT,EQIN,,0.0005,2.3425,SUR,2024-07-12,1268545000,RU000A0JVJQ8,MGKL,1-01-11915-A,2.337,SUR,1,3,2024-07-16
MGNT,TQBR,Магнит ао,6215.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,"""Магнит"" ПАО ао",,FNDT,EQIN,,0.5,6201.0,SUR,2024-07-12,101911355,RU000A0JKQU8,Magnit,1-01-60525-P,6188.5,SUR,1,3,2024-07-16
MGNZ,TQBR,СМЗ-ао,7440.0,1,0.25,A,Т+: Акции и ДР - безадрес.,0,Соликамский магн.завод(ОАО)ао,,FNDT,EQIN,,10.0,7330.0,SUR,2024-07-12,398272,RU0009100911,SMZ,1-01-00283-A,7440.0,SUR,1,3,2024-07-16
MGTS,TQBR,МГТС-5ао,1375.0,1,40.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""МГТС"" ао (5 в)",,FNDT,EQIN,,5.0,1380.0,SUR,2024-07-12,79708751,RU0009036461,MGTS-5,1-05-00083-A,1385.0,SUR,1,3,2024-07-16
MGTSP,TQBR,МГТС-4ап,996.0,1,40.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""МГТС"" ап (4 в)",,FNDT,EQIN,,2.0,1004.0,SUR,2024-07-12,15514042,RU0009036479,MGTS-4,2-04-00083-A,996.0,SUR,2,3,2024-07-16
MISB,TQBR,ТНСэнМарЭл,63.3,100,0.1,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Марий Эл ПАО ао,,FNDT,EQIN,,0.1,63.4,SUR,2024-07-12,121847780,RU000A0D8K33,TNS energo Mariy El ao,1-01-50086-A,63.3,SUR,1,3,2024-07-16
MISBP,TQBR,ТНСэМаЭл-п,59.8,100,0.1,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Марий Эл ПАО ап,,FNDT,EQIN,,0.1,59.4,SUR,2024-07-12,10652220,RU000A0D8K41,TNS energo Mariy El (pref),2-01-50086-A,59.8,SUR,2,3,2024-07-16
MOEX,TQBR,МосБиржа,227.88,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,226.27,SUR,2024-07-12,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,225.99,SUR,1,1,2024-07-16
MRKC,TQBR,РоссЦентр,0.4492,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""Россети Центр"" ао",,FNDT,EQIN,,0.0002,0.453,SUR,2024-07-12,42217941468,RU000A0JPPL8,Rosseti Centr,1-01-10214-A,0.4492,SUR,1,2,2024-07-16
MRKK,TQBR,Россети СК,19.0,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Сев. Кавказ ао,,FNDT,EQIN,,0.02,19.82,SUR,2024-07-12,2093354170,RU000A0JPPQ7,Rosseti Severnyy Kavkaz ao,1-01-34747-E,19.0,SUR,1,3,2024-07-16
MRKP,TQBR,РСетиЦП ао,0.2896,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Центр и Приволжье ао,,FNDT,EQIN,,0.0001,0.2868,SUR,2024-07-12,112697817043,RU000A0JPN96,Rosseti Centr i Privoljye ao,1-01-12665-E,0.2896,SUR,1,2,2024-07-16
MRKS,TQBR,РсетСиб ао,0.5785,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Сибирь ао,,FNDT,EQIN,,0.0005,0.592,SUR,2024-07-12,94815163249,RU000A0JPPF0,Rosseti Sibir,1-01-12044-F,0.5785,SUR,1,2,2024-07-16
MRKU,TQBR,Россети Ур,0.4224,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Урал (ПАО) ао,,FNDT,EQIN,,0.0002,0.4216,SUR,2024-07-12,87430485711,RU000A0JPPT1,Rosseti Ural ao,1-01-32501-D,0.4224,SUR,1,2,2024-07-16
MRKV,TQBR,РсетВол ао,0.06185,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,Россети Волга ао,,FNDT,EQIN,,5e-05,0.06035,SUR,2024-07-12,188307958732,RU000A0JPPN4,Rosseti Volga,1-01-04247-E,0.06185,SUR,1,2,2024-07-16
MRKY,TQBR,РоссЮг ао,0.0642,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,Россети Юг  (ПАО) ао,,FNDT,EQIN,,5e-05,0.0652,SUR,2024-07-12,151641426354,RU000A0JPPG8,Rosseti South ao,1-01-34956-E,0.0642,SUR,1,3,2024-07-16
MRKZ,TQBR,РСетиСЗ ао,0.0667,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,ПАО Россети Северо-Запад ао,,FNDT,EQIN,,5e-05,0.0684,SUR,2024-07-12,95785923138,RU000A0JPPB9,Rosseti Severo-Zapad,1-01-03347-D,0.0667,SUR,1,2,2024-07-16
MRSB,TQBR,МордЭнСб,0.846,10000,0.0136,A,Т+: Акции и ДР - безадрес.,3,Мордовск.энергсбыт.комп.ПАО ао,,FNDT,EQIN,,0.001,0.845,SUR,2024-07-12,1345037710,RU000A0D9AJ7,Mordovskaya EnergoSbyt Comp.,1-01-55055-E,0.846,SUR,1,3,2024-07-16
MSNG,TQBR,+МосЭнерго,2.546,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.5605,SUR,2024-07-12,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.5315,SUR,1,1,2024-07-16
MSRS,TQBR,РСетиМР ао,1.1095,1000,0.5,A,Т+: Акции и ДР - безадрес.,4,ПАО Россети Моск.рег. ао,,FNDT,EQIN,,0.0005,1.094,SUR,2024-07-12,48707091574,RU000A0ET7Y7,Rosseti Moscow Region,1-01-65116-D,1.1095,SUR,1,2,2024-07-16
MSTT,TQBR,Мостотрест,161.35,10,0.14,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""МОСТОТРЕСТ"" ао",,FNDT,EQIN,,0.05,162.4,SUR,2024-07-12,282215500,RU0009177331,Mostotrest,1-03-02472-A,161.35,SUR,1,3,2024-07-16
MTLR,TQBR,Мечел ао,188.2,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,187.68,SUR,2024-07-12,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,187.3,SUR,1,1,2024-07-16
MTLRP,TQBR,Мечел ап,202.25,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,202.95,SUR,2024-07-12,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,202.1,SUR,2,1,2024-07-16
MTSS,TQBR,МТС-ао,270.45,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,271.3,SUR,2024-07-12,1998381575,RU0007775219,MTS,1-01-04715-A,271.5,SUR,1,1,2024-07-16
MVID,TQBR,М.видео,145.2,1,10.0,A,Т+: Акции и ДР - безадрес.,1,"""М.видео"" ПАО ао",,FNDT,EQIN,,0.1,145.1,SUR,2024-07-12,179768227,RU000A0JPGA0,M.video,1-02-11700-A,144.3,SUR,1,1,2024-07-16
NAUK,TQBR,iНПОНаука,523.5,10,0.2,A,Т+: Акции и ДР - безадрес.,1,НПО Наука ао,,FNDT,EQIN,,0.5,518.5,SUR,2024-07-12,11789500,RU000A0JRPX9,NPO Nauka ao,1-01-04440-A,523.5,SUR,1,3,2024-07-16
NFAZ,TQBR,НЕФАЗ,357.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,НЕФАЗ ПАО ао,,FNDT,EQIN,,0.5,360.5,SUR,2024-07-12,8038896,RU0009115604,NEFAZ PAO ao,1-01-30520-D,357.0,SUR,1,3,2024-07-16
NKHP,TQBR,НКХП ао,756.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,НКХП ПАО ао,,FNDT,EQIN,,0.5,788.0,SUR,2024-07-12,67597000,RU000A0BLWD7,NKHP ao,1-03-35684-E,756.0,SUR,1,3,2024-07-16
NKNC,TQBR,НКНХ ао,89.25,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Нижнекамскнефтехим"" ПАО ао",,FNDT,EQIN,,0.05,89.05,SUR,2024-07-12,1611256000,RU0009100507,Niznekamskneftekhim ao,1-02-00096-A,89.25,SUR,1,3,2024-07-16
NKNCP,TQBR,НКНХ ап,68.88,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Нижнекамскнефтехим"" ПАО ап",,FNDT,EQIN,,0.02,68.92,SUR,2024-07-12,218983750,RU0006765096,Niznekamskneftekhim (pref),2-02-00096-A,68.76,SUR,2,3,2024-07-16
NKSH,TQBR,Нижкамшина,51.8,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Нижнекамскшина ПАО ао,,FNDT,EQIN,,0.05,52.05,SUR,2024-07-12,63731171,RU0009100515,Nizhnekamskshina ao,1-02-55032-D,51.8,SUR,1,3,2024-07-16
NLMK,TQBR,НЛМК ао,169.82,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,167.98,SUR,2024-07-12,5993227240,RU0009046452,NLMK ao,1-01-00102-A,167.52,SUR,1,1,2024-07-16
NMTP,TQBR,НМТП ао,8.545,100,0.01,A,Т+: Акции и ДР - безадрес.,3,НМТП (ПАО) ао,,FNDT,EQIN,,0.005,8.55,SUR,2024-07-12,19259815400,RU0009084446,NMTP,1-01-30251-E,8.495,SUR,1,3,2024-07-16
NNSB,TQBR,ТНСэнНН ао,4740.0,1,11.88,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Нижний Новг.ПАО ао,,FNDT,EQIN,,10.0,4720.0,SUR,2024-07-12,3919400,RU000A0ET5A1,TNS energo Nizhniy-Novgorod ao,1-01-55072-E,4740.0,SUR,1,3,2024-07-16
NNSBP,TQBR,ТНСэнНН ап,1414.0,1,11.88,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Нижний Новг.ПАО ап,,FNDT,EQIN,,2.0,1424.0,SUR,2024-07-12,1063512,RU000A0ET5B9,TNS energo Nizhniy Novg. pref,2-01-55072-E,1414.0,SUR,2,3,2024-07-16
NSVZ,TQBR,iНаукаСвяз,379.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Наука-Связь ПАО ао,,FNDT,EQIN,,0.5,382.0,SUR,2024-07-12,15701562,RU000A0JQLB6,Nauka-Svyaz ao,1-01-12689-A,378.5,SUR,1,3,2024-07-16
NVTK,TQBR,Новатэк ао,1024.8,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,1032.2,SUR,2024-07-12,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,1022.0,SUR,1,1,2024-07-16
OGKB,TQBR,ОГК-2 ао,0.442,1000,0.3627,A,Т+: Акции и ДР - безадрес.,4,ОГК-2 ПАО ао,,FNDT,EQIN,,0.0001,0.4449,SUR,2024-07-12,110441160870,RU000A0JNG55,OGK-2,1-02-65105-D,0.4414,SUR,1,2,2024-07-16
OKEY,TQBR,OKEY-гдр,26.01,10,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР OKEY Group S.A. ORD SHS,,FNDT,EQIN,,0.01,26.38,USD,2024-07-12,0,US6708662019,GDR OKEY Group ORD SHS,,26.01,SUR,D,2,2024-07-16
OMZZP,TQBR,ОМЗ-ап,15720.0,1,0.1,A,Т+: Акции и ДР - безадрес.,0,"ап""Объединён.  маш. заводы""",,FNDT,EQIN,,20.0,15840.0,SUR,2024-07-12,2750000,RU0009090559,OMZ (pref),2-01-30174-D,15720.0,SUR,2,3,2024-07-16
OZON,TQBR,OZON-адр,3841.5,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,3804.5,USD,2024-07-12,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,3812.5,SUR,D,1,2024-07-16
PHOR,TQBR,ФосАгро ао,5546.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,5546.0,SUR,2024-07-12,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,5533.0,SUR,1,1,2024-07-16
PIKK,TQBR,ПИК ао,867.0,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,853.9,SUR,2024-07-12,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,858.8,SUR,1,1,2024-07-16
PLZL,TQBR,Полюс,12300.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,12207.0,SUR,2024-07-12,136069400,RU000A0JNAA8,Polus,1-01-55192-E,12290.5,SUR,1,1,2024-07-16
PMSB,TQBR,ПермьЭнСб,201.1,10,3.25,A,Т+: Акции и ДР - безадрес.,1,"""Пермэнергосбыт"" ПАО ао",,FNDT,EQIN,,0.1,203.7,SUR,2024-07-12,36210960,RU000A0ET123,Perm' EnergoSbyt,1-01-55084-E,200.9,SUR,1,3,2024-07-16
PMSBP,TQBR,ПермьЭнС-п,208.4,10,3.25,A,Т+: Акции и ДР - безадрес.,1,"""Пермэнергосбыт"" ПАО ап",,FNDT,EQIN,,0.2,209.0,SUR,2024-07-12,11353500,RU000A0ET156,Perm' EnergoSbyt (pref),2-01-55084-E,208.4,SUR,2,3,2024-07-16
POLY,TQBR,Solidcore,203.6,1,0.03,A,Т+: Акции и ДР - безадрес.,1,Solidcore Resources plc,,FNDT,EQIN,,0.1,204.3,USD,2024-07-12,528734657,JE00B6T5S470,Solidcore Resources plc,,204.5,SUR,1,3,2024-07-16
POSI,TQBR,iПозитив,3047.8,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,3003.6,SUR,2024-07-12,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,3004.6,SUR,1,1,2024-07-16
PRFN,TQBR,ЧЗПСН ао,4.37,100,0.1,A,Т+: Акции и ДР - безадрес.,3,ЧЗПСН-Профнастил (ПАО) ао,,FNDT,EQIN,,0.002,4.394,SUR,2024-07-12,838287450,RU000A0JNXF9,CZPSN-Profnasteel,1-01-45194-D,4.37,SUR,1,3,2024-07-16
PRMB,TQBR,Приморье,32800.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,"АКБ ""Приморье"" ао",,FNDT,EQIN,,200.0,32800.0,SUR,2024-07-12,250000,RU000A0DPNQ5,AKB Primorye,10103001B,32800.0,SUR,1,3,2024-07-16
PRMD,TQBR,ПРОМОМЕД,407.0,1,1.0,A,Т+: Акции и ДР - безадрес.,2,ПРОМОМЕД,,FNDT,EQIN,,0.05,400.0,SUR,2024-07-12,200000000,RU000A108JF7,PROMOMED,1-01-01622-G,407.0,SUR,1,2,2024-07-16
QIWI,TQBR,iQIWI,147.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,QIWI PLC,,FNDT,EQIN,,0.2,149.6,USD,2024-07-12,0,US74735M1080,QIWI PLC,,147.6,SUR,D,3,2024-07-16
RASP,TQBR,Распадская,296.05,10,0.004,A,Т+: Акции и ДР - безадрес.,2,ПАО Распадская ао,,FNDT,EQIN,,0.05,295.8,SUR,2024-07-12,665733918,RU000A0B90N8,Raspadskaya,1-04-21725-N,293.1,SUR,1,2,2024-07-16
RBCM,TQBR,ГК РБК ао,16.966,100,0.00064,A,Т+: Акции и ДР - безадрес.,3,ГК РБК ПАО ао,,FNDT,EQIN,,0.002,17.064,SUR,2024-07-12,365631010,RU000A0JR6A6,GK RBK ao,1-02-56413-H,16.966,SUR,1,3,2024-07-16
RDRB,TQBR,РДБанк ао,170.0,10,124.0,A,Т+: Акции и ДР - безадрес.,1,РоссийскийДорож Банк ПАО ао,,FNDT,EQIN,,0.5,172.0,SUR,2024-07-12,21472741,RU000A0JU6Q7,RosDor Bank ao,10201573B,170.5,SUR,1,3,2024-07-16
RENI,TQBR,Ренессанс,92.14,10,9.88,A,Т+: Акции и ДР - безадрес.,2,Ренессанс Страхование ао,,FNDT,EQIN,,0.02,90.26,SUR,2024-07-12,556952780,RU000A0ZZM04,Renaissance Insurance,1-01-10601-Z,92.14,SUR,1,1,2024-07-16
RGSS,TQBR,РГС СК ао,0.2498,1000,0.03,A,Т+: Акции и ДР - безадрес.,4,Росгосстрах СК ПАО ао,,FNDT,EQIN,,0.0002,0.2512,SUR,2024-07-12,489503740915,RU0008010855,Rosgosstrakh ao,1-03-10003-Z,0.2498,SUR,1,3,2024-07-16
RKKE,TQBR,ЭнергияРКК,20240.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,РКК Энергия им.С.П.Королева ао,,FNDT,EQIN,,10.0,20250.0,SUR,2024-07-12,1807401,RU0009095939,RKK Energia,1-03-01091-A,20230.0,SUR,1,3,2024-07-16
RNFT,TQBR,РуссНфт ао,169.8,1,0.5,A,Т+: Акции и ДР - безадрес.,1,РуссНефть НК ПАО ао,,FNDT,EQIN,,0.1,169.5,SUR,2024-07-12,294120000,RU000A0JSE60,RussNeft NK,1-02-39134-H,167.9,SUR,1,1,2024-07-16
ROLO,TQBR,Русолово,0.8166,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"""Русолово"" ПАО ао",,FNDT,EQIN,,0.0002,0.8234,SUR,2024-07-12,30001000000,RU000A0JU1B0,Rusolovo PAO ao,1-01-15065-A,0.8166,SUR,1,3,2024-07-16
ROSB,TQBR,Росбанк ао,101.0,10,10.0,A,Т+: Акции и ДР - безадрес.,1,РОСБАНК ПАО ао,,FNDT,EQIN,,0.2,101.8,SUR,2024-07-12,1551401853,RU000A0HHK26,ROSBANK,10102272B,101.0,SUR,1,3,2024-07-16
ROSN,TQBR,Роснефть,527.4,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,524.2,SUR,2024-07-12,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,523.0,SUR,1,1,2024-07-16
